mplight	TRAIN	40	367.5	0.0	-2.67	2.30	0.14	2710
mplight	TEST	40	367.6	100.0	-2.68	2.30	0.14	2705
mplight	TRAIN	41	367.8	0.0	-2.73	2.35	0.14	2705
mplight	TEST	41	368.1	100.0	-2.67	2.28	0.14	2703
mplight	TRAIN	42	367.3	0.0	-2.66	2.28	0.14	2714
mplight	TEST	42	367.1	100.0	-2.67	2.32	0.14	2708
mplight	TRAIN	43	365.5	0.0	-2.57	2.23	0.13	2715
mplight	TEST	43	366.3	100.0	-2.60	2.26	0.14	2710
mplight	TRAIN	44	365.2	0.0	-2.59	2.25	0.14	2709
mplight	TEST	44	367.8	100.0	-2.72	2.31	0.14	2712
mplight	TRAIN	45	367.9	0.0	-2.67	2.30	0.14	2714
mplight	TEST	45	366.9	100.0	-2.62	2.26	0.14	2715
mplight	TRAIN	46	367.3	0.0	-2.63	2.27	0.14	2716
mplight	TEST	46	365.0	100.0	-2.59	2.23	0.14	2709
mplight	TRAIN	47	366.5	0.0	-2.65	2.27	0.14	2706
mplight	TEST	47	368.3	100.0	-2.66	2.28	0.14	2720
mplight	TRAIN	48	366.7	0.0	-2.60	2.25	0.14	2711
mplight	TEST	48	366.9	100.0	-2.70	2.34	0.14	2710
mplight	TRAIN	49	365.5	0.0	-2.58	2.25	0.14	2707
mplight	TEST	49	368.2	100.0	-2.72	2.34	0.14	2713
