agent,network,world,train_pr,infer_pr,omnet_slot,omnet_group_run,ue_tx_power_dbm,n_success,n_total,source_repeats,travel_time_mean,travel_time_std,travel_time_ci95_low,travel_time_ci95_high,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,reward_mean,reward_std,reward_ci95_low,reward_ci95_high,queue_mean,queue_std,queue_ci95_low,queue_ci95_high,delay_mean,delay_std,delay_ci95_low,delay_ci95_high,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high
presslight,sumohz4x4,sumo,0.1,1,1,1,26,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",274.966666666667,1.45716619962628,271.346573001058,278.586760332275,0,0,0,0,-74.35,7.35660927329975,-92.6263055013616,-56.0736944986384,6.91666666666667,0.415250928154692,5.88504291981039,7.94829041352294,0.126666666666667,0.00577350269189626,0.112323333333333,0.14101,356.666666666667,10.0166528008778,341.781913393941,381.551419939393
presslight,sumohz4x4,sumo,0.1,1,2,2,21,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",285.9,21.421717951649,232.681207604801,339.118792395199,0,0,0,0,-70.4366666666667,16.8881506783109,-112.39254466471,-28.4807886686236,5.50666666666667,1.15695001332527,2.63241154344295,8.38092178989038,0.106666666666667,0.00577350269189625,0.0923233333333333,0.12101,360,57.1926568713152,337.914097299087,372.085902700913
presslight,sumohz4x4,sumo,0.1,1,3,3,16,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",291.333333333333,4.79826357480843,279.412823800832,303.253842865834,0,0,0,0,-60.7666666666667,4.76050767600823,-72.5933777771887,-48.9399555561447,4.22666666666667,0.521664004253057,2.93067684899405,5.52265648433929,0.0833333333333333,0.00577350269189625,0.06899,0.0976766666666667,353,10.4403065089106,327.062747633311,368.937252366689
presslight,sumohz4x4,sumo,0.1,1,4,4,11,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",298.266666666667,2.85715476187996,291.168527924636,305.364805408697,0,0,0,0,-51.8266666666667,10.6616149495906,-78.3137240483618,-25.3396092849715,3.35,0.905704145954958,1.09992458476758,5.60007541523242,0.0633333333333333,0.00577350269189626,0.04899,0.0776766666666667,341,24.9799919935936,298.941251446714,363.058748553286
presslight,sumohz4x4,sumo,0.1,1,5,5,6,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",296.166666666667,4.46579593503031,285.072119194698,307.261214138636,0,0,0,0,-38.2,2.21880598520917,-43.7122644859108,-32.6877355140892,2.22333333333333,0.193476958145753,1.74267113378174,2.70399553288493,0.0433333333333333,0.00577350269189626,0.02899,0.0576766666666667,330,16.8226038412607,298.206962513675,361.793037486325
presslight,sumohz4x4,sumo,0.1,1,6,6,1,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",287.566666666667,10.2714815549332,262.048832583662,313.084500749672,0,0,0,0,-31.8066666666667,1.40058321185617,-35.2861890538166,-28.3271442795167,1.85333333333333,0.0503322295684716,1.7282910523063,1.97837561436037,0.0333333333333333,0.00577350269189626,0.01899,0.0476766666666667,310.666666666667,14.4683562761405,274.722376358222,336.610956975112
presslight,sumohz4x4,sumo,0.5,1,7,1,26,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",314.366666666667,3.92725519075771,304.610036542433,324.123296790901,0,0,0,0,-31.81,2.06659139647875,-36.9441119672637,-26.6758880327363,3.49666666666667,0.120554275466834,3.19716907394772,3.79616425938561,0.123333333333333,0.00577350269189626,0.10899,0.137676666666667,419.666666666667,5.13160143944688,406.918033140764,432.41530019257
presslight,sumohz4x4,sumo,0.5,1,8,2,21,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",311.6,5.20864665724217,298.65996009576,324.54003990424,0,0,0,0,-33.4666666666667,3.06421822547503,-41.0792210828538,-25.8541122504795,3.20333333333333,0.400666112035112,2.2079432024243,4.19872346424237,0.11,0.01,0.0851566179167704,0.13484338208323,409.666666666667,11.5902257671425,380.872625950265,428.460707383068
presslight,sumohz4x4,sumo,0.5,1,9,3,16,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",309.733333333333,4.70567033836131,298.04285671597,321.423809950696,0,0,0,0,-28.09,2.69538494467859,-34.7862478042035,-21.3937521957965,2.27666666666667,0.119303534454489,1.98027633763341,2.57305699569993,0.0933333333333333,0.00577350269189626,0.07899,0.107676666666667,403.333333333333,13.5769412362775,369.603619467893,426.063047198773
presslight,sumohz4x4,sumo,0.5,1,10,4,11,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",301.333333333333,4.95210392998102,289.030632328495,313.636034338171,0,0,0,0,-24.3433333333333,0.400790884793222,-25.3390334419727,-23.347633224694,1.57666666666667,0.100166528008778,1.32781913393941,1.82551419939393,0.0733333333333334,0.00577350269189625,0.05899,0.0876766666666667,384.666666666667,10.0664459136943,359.658210461259,409.675122872074
presslight,sumohz4x4,sumo,0.5,1,11,5,6,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",291.633333333333,11.3694033851093,263.38789009787,319.878776568797,0,0,0,0,-18.5833333333333,1.01903549169464,-21.1149621409875,-16.0517045256792,0.803333333333333,0.136503968196288,0.464211309555592,1.14245535711108,0.04,0,0.04,0.04,368.333333333333,14.0118997046558,333.523035525868,383.143631140799
presslight,sumohz4x4,sumo,0.5,1,12,6,1,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",277.333333333333,3.33816316757185,269.040207030518,285.626459636148,0,0,0,0,-13.7533333333333,1.82763052429459,-18.2937856755357,-9.21288099113095,0.51,0.207846096908265,-0.00635999999999992,1.02636,0.0233333333333333,0.00577350269189626,0.00899,0.0376766666666667,331.333333333333,13.4288247189891,297.971590991077,364.69507567559
presslight,sumohz4x4,sumo,1,1,13,1,26,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",309.266666666667,7.67419919817912,290.201360380349,328.331972952984,0,0,0,0,-36.1433333333333,1.63866815839368,-40.214339249993,-32.0723274166737,3.84666666666667,0.118462370959446,3.55236607224359,4.14096726108975,0.123333333333333,0.00577350269189626,0.10899,0.137676666666667,438.333333333333,6.65832811847939,421.791794385044,454.874872281623
presslight,sumohz4x4,sumo,1,1,14,2,21,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",309.233333333333,3.2501282025996,301.158915657667,317.307751009,0,0,0,0,-33.4433333333333,1.75032377957146,-37.791729575859,-29.0949370908077,3.28333333333333,0.107857931249089,3.01537775366055,3.55128891300612,0.11,0,0.11,0.11,422.666666666667,9.01849950564579,400.261663763049,445.071669570284
presslight,sumohz4x4,sumo,1,1,15,3,16,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",300.966666666667,9.208872533233,278.08871277678,323.844620556553,0,0,0,0,-31,2.86104875875963,-38.1078127472615,-23.8921872527385,2.35,0.13,2.02703603291802,2.67296396708198,0.0933333333333333,0.00577350269189626,0.07899,0.107676666666667,393,10.5356537528527,366.825872832127,419.174127167873
presslight,sumohz4x4,sumo,1,1,16,4,11,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",294.9,9.37443331620637,271.610737131173,318.189262868827,0,0,0,0,-28.4533333333333,1.58241376805605,-32.3845843186913,-24.5220823479754,1.71666666666667,0.142243921955679,1.36328465645046,2.07004867688287,0.07,0,0.07,0.07,376.333333333333,15.5670592384475,337.659493276031,415.007173390635
presslight,sumohz4x4,sumo,1,1,17,5,6,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",278.2,13.2725280184297,245.226551522778,311.173448477222,0,0,0,0,-20.0633333333333,0.682446579105892,-21.7587614449454,-18.3679052217213,0.916666666666667,0.0814452781524708,0.714329050264992,1.11900428306834,0.0433333333333333,0.00577350269189626,0.02899,0.0576766666666667,344.666666666667,39.9541403778549,295.407069145263,363.926264188071
presslight,sumohz4x4,sumo,1,1,18,6,1,3,3,"omnet_1_press,omnet_2_press,omnet_3_press",279.633333333333,7.37586153159978,261.30919871108,297.957467955586,0,0,0,0,-14.8766666666667,0.227449628123094,-15.4417284682817,-14.3116048650516,0.52,0.0458257569495584,0.406153321084891,0.633846678915109,0.0233333333333333,0.00577350269189626,0.00899,0.0376766666666667,305.666666666667,20.2566861389847,275.342207317581,355.991126015752
