agent,network,world,train_pr,infer_pr,n_success,n_total,travel_time_mean,travel_time_std,travel_time_ci95_low,travel_time_ci95_high,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,reward_mean,reward_std,reward_ci95_low,reward_ci95_high,queue_mean,queue_std,queue_ci95_low,queue_ci95_high,delay_mean,delay_std,delay_ci95_low,delay_ci95_high,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high
presslight,sumohz4x4,sumo,1,0.05,3,3,557.3,45.6881822794473,505.598954697866,609.001045302134,0,0,0,0,-15.8433333333333,0.680906258844294,-16.6138513005332,-15.0728153661335,2.69333333333333,0.0802080627701065,2.60256936593559,2.78409730073107,0.216666666666667,0.00577350269189626,0.210133333333333,0.2232,2229.66666666667,222.729282613071,1977.62475657145,2481.70857676188
presslight,sumohz4x4,sumo,1,0.075,3,3,546.466666666667,18.0150862704938,526.080677447489,566.852655885845,0,0,0,0,-15.9933333333333,0.335012437580059,-16.37243559453,-15.6142310721366,2.78,0.07,2.70078754306718,2.85921245693282,0.216666666666667,0.00577350269189626,0.210133333333333,0.2232,2372,167.687208814507,2182.24405990852,2561.75594009148
presslight,sumohz4x4,sumo,1,0.1,3,3,544.666666666667,32.0041143188392,508.450601993038,580.882731340295,0,0,0,0,-17.57,0.977087508875228,-18.675678603091,-16.464321396909,2.86666666666667,0.0568624070307734,2.80232079569493,2.9310125376384,0.216666666666667,0.0115470053837925,0.2036,0.229733333333333,2378.33333333333,34.9904748943671,2338.73788353864,2417.92878312803
presslight,sumohz4x4,sumo,1,0.125,3,3,522.666666666667,27.269457884845,491.808370119745,553.524963213589,0,0,0,0,-16.8533333333333,0.92424744161579,-17.8992177713941,-15.8074488952725,2.88666666666667,0.174737898961082,2.68893211958116,3.08440121375217,0.22,0.01,0.208683934723883,0.231316065276117,2525.66666666667,70.4367328411343,2445.96,2605.37333333333
presslight,sumohz4x4,sumo,1,0.15,3,3,510.833333333333,19.1479328736377,489.165407503255,532.501259163412,0,0,0,0,-17.5166666666667,0.952382976188326,-18.5943894593076,-16.4389438740257,2.97666666666667,0.170098010962308,2.78418264712796,3.16915068620537,0.216666666666667,0.00577350269189626,0.210133333333333,0.2232,2488.33333333333,78.621455934963,2399.364780587,2577.30188607967
presslight,sumohz4x4,sumo,1,0.175,3,3,498.966666666667,16.7060867151267,480.061949888983,517.871383444351,0,0,0,0,-17.0933333333333,0.663651514978558,-17.8443257197424,-16.3423409469242,2.93333333333333,0.222336081942031,2.68173637168413,3.18493029498254,0.213333333333333,0.00577350269189626,0.2068,0.219866666666667,2578,48.7749935930288,2522.80589886591,2633.19410113409
presslight,sumohz4x4,sumo,1,0.2,3,3,495.933333333333,18.0289581876861,475.53164656211,516.335020104557,0,0,0,0,-17.7166666666667,0.931790391307687,-18.7710867558363,-16.6622465774971,3.00333333333333,0.259293913027925,2.70991464878096,3.29675201788571,0.213333333333333,0.00577350269189626,0.2068,0.219866666666667,2578,35.3694783676548,2537.97566740094,2618.02433259906
presslight,sumohz4x4,sumo,1,0.225,3,3,490.5,8.7068938204161,480.647222117595,500.352777882405,0,0,0,0,-18.3466666666667,1.53004357236431,-20.0780739606844,-16.6152593726489,3.07666666666667,0.132035348802256,2.92725460408655,3.22607872924678,0.21,0,0.21,0.21,2577.33333333333,34.7898452617044,2537.96491734059,2616.70174932608
presslight,sumohz4x4,sumo,1,0.25,3,3,474.866666666667,14.146495443513,458.858400079959,490.874933253375,0,0,0,0,-17.8966666666667,1.28360170354099,-19.3491987332471,-16.4441346000862,3.09333333333333,0.215715862498179,2.84922785522101,3.33743881144565,0.213333333333333,0.00577350269189626,0.2068,0.219866666666667,2584.66666666667,29.1433239925259,2551.68789100042,2617.64544233291
presslight,sumohz4x4,sumo,1,0.3,3,3,474.1,18.8740562677979,452.74199472485,495.45800527515,0,0,0,0,-18.7633333333333,1.05793824646495,-19.9605031588431,-17.5661635078236,3.24333333333333,0.317542648054294,2.884,3.60266666666667,0.21,0,0.21,0.21,2608,24.2693221990232,2580.53667657887,2635.46332342113
presslight,sumohz4x4,sumo,1,0.35,3,3,469.166666666667,18.4000905794872,448.345004058273,489.98832927506,0,0,0,0,-20.12,1.51621238617814,-21.8357558334448,-18.4042441665552,3.45666666666667,0.43730233629988,2.96181248836989,3.95152084496344,0.21,0.01,0.198683934723883,0.221316065276117,2601.33333333333,25.5016339345802,2572.4755179082,2630.19114875847
presslight,sumohz4x4,sumo,1,0.4,3,3,456.533333333333,11.5144836329439,443.503468492216,469.56319817445,0,0,0,0,-20.2766666666667,1.09390736963115,-21.5145393867438,-19.0387939465896,3.50666666666667,0.273191019862171,3.19752192530574,3.81581140802759,0.213333333333333,0.00577350269189626,0.2068,0.219866666666667,2636.66666666667,8.08290376865476,2627.52,2645.81333333333
presslight,sumohz4x4,sumo,1,0.45,3,3,450.466666666667,8.28090172223613,441.095944223274,459.83738911006,0,0,0,0,-20.22,1.09777046781192,-21.4622442271953,-18.9777557728047,3.5,0.199749843554382,3.27396177314445,3.72603822685555,0.21,0,0.21,0.21,2628.66666666667,32.0364375880548,2592.4140247706,2664.91930856273
presslight,sumohz4x4,sumo,1,0.5,3,3,445.4,10.1838106816653,433.875933356666,456.924066643334,0,0,0,0,-22.79,2.89870660812715,-26.0701953193878,-19.5098046806122,3.87,0.310966236109324,3.51810857735186,4.22189142264814,0.206666666666667,0.00577350269189625,0.200133333333333,0.2132,2612,40.5832477754061,2566.07573190567,2657.92426809433
