run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
55,baseline,presslight,sumohz4x4,sumo,1.0,0.75,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.75__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.75__ckpt_25__rep_01,success,0,423.5,0.0,-25.53,4.38,0.2,2654.0
56,baseline,presslight,sumohz4x4,sumo,1.0,0.75,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.75__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.75__ckpt_35__rep_02,success,0,445.1,0.0,-28.52,5.38,0.2,2629.0
57,baseline,presslight,sumohz4x4,sumo,1.0,0.75,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.75__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.75__ckpt_20__rep_03,success,0,434.9,0.0,-39.75,6.24,0.21,2524.0
58,baseline,presslight,sumohz4x4,sumo,1.0,0.8,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.80__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.80__ckpt_25__rep_01,success,0,424.2,0.0,-27.0,4.47,0.2,2663.0
59,baseline,presslight,sumohz4x4,sumo,1.0,0.8,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.80__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.80__ckpt_35__rep_02,success,0,443.5,0.0,-29.21,5.7,0.2,2618.0
60,baseline,presslight,sumohz4x4,sumo,1.0,0.8,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.80__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.80__ckpt_20__rep_03,success,0,434.3,0.0,-30.58,5.0,0.2,2648.0
61,baseline,presslight,sumohz4x4,sumo,1.0,0.85,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.85__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.85__ckpt_25__rep_01,success,0,426.2,0.0,-27.51,4.71,0.2,2644.0
62,baseline,presslight,sumohz4x4,sumo,1.0,0.85,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.85__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.85__ckpt_35__rep_02,success,0,429.1,0.0,-29.16,4.76,0.2,2661.0
63,baseline,presslight,sumohz4x4,sumo,1.0,0.85,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.85__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.85__ckpt_20__rep_03,success,0,477.9,0.0,-41.2,6.44,0.21,2625.0
64,baseline,presslight,sumohz4x4,sumo,1.0,0.9,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.90__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.90__ckpt_25__rep_01,success,0,423.6,0.0,-27.13,4.65,0.19,2652.0
65,baseline,presslight,sumohz4x4,sumo,1.0,0.9,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.90__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.90__ckpt_35__rep_02,success,0,433.9,0.0,-30.71,6.93,0.2,2554.0
66,baseline,presslight,sumohz4x4,sumo,1.0,0.9,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.90__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.90__ckpt_20__rep_03,success,0,431.6,0.0,-33.51,5.59,0.21,2605.0
67,baseline,presslight,sumohz4x4,sumo,1.0,0.95,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.95__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.95__ckpt_25__rep_01,success,0,423.9,0.0,-27.03,4.76,0.2,2655.0
68,baseline,presslight,sumohz4x4,sumo,1.0,0.95,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.95__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.95__ckpt_35__rep_02,success,0,432.3,0.0,-30.66,5.9,0.2,2605.0
69,baseline,presslight,sumohz4x4,sumo,1.0,0.95,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.95__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.95__ckpt_20__rep_03,success,0,434.7,0.0,-29.95,5.83,0.21,2594.0
70,baseline,presslight,sumohz4x4,sumo,1.0,1.0,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_1.00__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_1.00__ckpt_25__rep_01,success,0,419.4,0.0,-35.0,5.86,0.19,2674.0
71,baseline,presslight,sumohz4x4,sumo,1.0,1.0,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_1.00__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_1.00__ckpt_35__rep_02,success,0,423.1,0.0,-68.03,11.02,0.2,2304.0
72,baseline,presslight,sumohz4x4,sumo,1.0,1.0,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_1.00__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_1.00__ckpt_20__rep_03,success,0,434.9,0.0,-37.63,6.69,0.2,2658.0
