agent,network,world,train_pr,infer_pr,n_success,n_total,travel_time_mean,travel_time_std,travel_time_ci95_low,travel_time_ci95_high,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,reward_mean,reward_std,reward_ci95_low,reward_ci95_high,queue_mean,queue_std,queue_ci95_low,queue_ci95_high,delay_mean,delay_std,delay_ci95_low,delay_ci95_high,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high
mplight,sumohz4x4,sumo,1,0.05,3,3,399.6,5.60446250768083,393.257953642554,405.942046357447,0,0,0,0,-2.01333333333333,0.055075705472861,-2.07565736115924,-1.95100930550743,1.64666666666667,0.0568624070307732,1.58232079569493,1.7110125376384,0.14,0,0.14,0.14,2693,2.64575131106459,2690.00605054596,2695.99394945404
mplight,sumohz4x4,sumo,1,0.075,3,3,392.366666666667,5.80201114557128,385.801072981063,398.932260352271,0,0,0,0,-1.99333333333333,0.0152752523165194,-2.01061890856562,-1.97604775810104,1.63,0,1.63,1.63,0.14,0,0.14,0.14,2694,8.71779788708135,2684.13488300458,2703.86511699542
mplight,sumohz4x4,sumo,1,0.1,3,3,392.9,7.20624728967859,384.745363527416,401.054636472584,0,0,0,0,-2.03,0.02,-2.05263213055223,-2.00736786944777,1.64333333333333,0.0152752523165195,1.62604775810104,1.66061890856562,0.14,0,0.14,0.14,2696.66666666667,5.03322295684717,2690.97103871377,2702.36229461956
mplight,sumohz4x4,sumo,1,0.125,3,3,391.966666666667,5.49211556081384,385.751752847652,398.181580485681,0,0,0,0,-2.00333333333333,0.0416333199893226,-2.0504458699994,-1.95622079666727,1.62333333333333,0.0404145188432737,1.5776,1.66906666666667,0.14,0,0.14,0.14,2697,6.557438524302,2689.57955976149,2704.42044023851
mplight,sumohz4x4,sumo,1,0.15,3,3,390.8,4.56398948289762,385.635359709202,395.964640290798,0,0,0,0,-2.02666666666667,0.0288675134594814,-2.05933333333333,-1.994,1.65,0.01,1.63868393472388,1.66131606527612,0.14,0,0.14,0.14,2700.66666666667,12.5033328890074,2686.51781355256,2714.81551978077
mplight,sumohz4x4,sumo,1,0.175,3,3,388.6,3.20780298646911,384.970029201219,392.229970798781,0,0,0,0,-2.02,0.02,-2.04263213055223,-1.99736786944777,1.64,0.0199999999999999,1.61736786944777,1.66263213055223,0.14,0,0.14,0.14,2702,1.73205080756888,2700.04,2703.96
mplight,sumohz4x4,sumo,1,0.2,3,3,384.2,6.03572696532903,377.369931967152,391.030068032848,0,0,0,0,-2,0.0458257569495584,-2.05185672569687,-1.94814327430313,1.63666666666667,0.0152752523165194,1.61938109143438,1.65395224189896,0.136666666666667,0.00577350269189626,0.130133333333333,0.1432,2699.33333333333,1.52752523165195,2697.6047758101,2701.06189085656
mplight,sumohz4x4,sumo,1,0.225,3,3,385.1,4.46430285710995,380.048165745659,390.151834254341,0,0,0,0,-2.03333333333333,0.0351188458428424,-2.07307404853128,-1.99359261813538,1.65333333333333,0.0351188458428424,1.61359261813539,1.69307404853128,0.14,0,0.14,0.14,2702.33333333333,2.3094010767585,2699.72,2704.94666666667
mplight,sumohz4x4,sumo,1,0.25,3,3,383.633333333333,3.66651514838456,379.484280857834,387.782385808832,0,0,0,0,-2.12,0.026457513110646,-2.14993949454038,-2.09006050545962,1.71333333333333,0.0251661147842359,1.68485519356887,1.7418114730978,0.14,0,0.14,0.14,2701,0,2701,2701
mplight,sumohz4x4,sumo,1,0.3,3,3,380.166666666667,2.57358375292769,377.254382492498,383.078950840835,0,0,0,0,-2.09,0.04,-2.13526426110447,-2.04473573889553,1.7,0.02,1.67736786944777,1.72263213055223,0.14,0,0.14,0.14,2700,8.18535277187245,2690.73740137254,2707.26259862746
