run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
16,baseline,mplight,sumohz4x4,sumo,1.0,0.175,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.17__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.17__ckpt_20__rep_01,success,0,384.9,0.0,-2.04,1.66,0.14,2714.0
17,baseline,mplight,sumohz4x4,sumo,1.0,0.175,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.17__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.17__ckpt_40__rep_02,success,0,390.3,0.0,-2.0,1.62,0.14,2703.0
18,baseline,mplight,sumohz4x4,sumo,1.0,0.175,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.17__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.17__ckpt_35__rep_03,success,0,390.6,0.0,-2.02,1.64,0.14,2700.0
19,baseline,mplight,sumohz4x4,sumo,1.0,0.2,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.20__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.20__ckpt_20__rep_01,success,0,377.3,0.0,-1.95,1.62,0.13,2697.0
20,baseline,mplight,sumohz4x4,sumo,1.0,0.2,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.20__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.20__ckpt_40__rep_02,success,0,386.8,0.0,-2.01,1.64,0.14,2704.0
21,baseline,mplight,sumohz4x4,sumo,1.0,0.2,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.20__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.20__ckpt_35__rep_03,success,0,388.5,0.0,-2.04,1.65,0.14,2702.0
22,baseline,mplight,sumohz4x4,sumo,1.0,0.225,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.23__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.23__ckpt_20__rep_01,success,0,380.0,0.0,-2.03,1.65,0.14,2701.0
23,baseline,mplight,sumohz4x4,sumo,1.0,0.225,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.23__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.23__ckpt_40__rep_02,success,0,387.0,0.0,-2.0,1.62,0.14,2703.0
24,baseline,mplight,sumohz4x4,sumo,1.0,0.225,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.23__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.23__ckpt_35__rep_03,success,0,388.3,0.0,-2.07,1.69,0.14,2706.0
25,baseline,mplight,sumohz4x4,sumo,1.0,0.25,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.25__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.25__ckpt_20__rep_01,success,0,379.4,0.0,-2.14,1.74,0.14,2698.0
26,baseline,mplight,sumohz4x4,sumo,1.0,0.25,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.25__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.25__ckpt_40__rep_02,success,0,385.7,0.0,-2.13,1.71,0.14,2691.0
27,baseline,mplight,sumohz4x4,sumo,1.0,0.25,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.25__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.25__ckpt_35__rep_03,success,0,385.8,0.0,-2.09,1.69,0.14,2701.0
28,baseline,mplight,sumohz4x4,sumo,1.0,0.3,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.30__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.30__ckpt_20__rep_01,success,0,377.2,0.0,-2.05,1.68,0.14,2711.0
