agent,network,world,train_pr,infer_pr,n_success,n_total,travel_time_mean,travel_time_std,travel_time_ci95_low,travel_time_ci95_high,loss_mean,loss_std,loss_ci95_low,loss_ci95_high,reward_mean,reward_std,reward_ci95_low,reward_ci95_high,queue_mean,queue_std,queue_ci95_low,queue_ci95_high,delay_mean,delay_std,delay_ci95_low,delay_ci95_high,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high
presslight,sumohz4x4,sumo,0.05,0.05,3,3,511.766666666667,5.20032050294341,505.881950039863,517.65138329347,0,0,0,0,-14.8266666666667,0.0493288286231624,-14.8824874911361,-14.7708458421973,2.11666666666667,0.109696551146029,1.99253333333333,2.2408,0.17,0.01,0.158683934723883,0.181316065276117,2448.33333333333,37.4210279566627,2405.98745382764,2490.67921283903
presslight,sumohz4x4,sumo,0.075,0.075,3,3,470.533333333333,16.2056574483522,452.194905580539,488.871761086127,0,0,0,0,-15.02,0.495681349255749,-15.5809162504332,-14.4590837495668,2.19,0.02,2.16736786944777,2.21263213055223,0.173333333333333,0.00577350269189625,0.1668,0.179866666666667,2626.66666666667,4.04145188432738,2592.09333333333,2640.24
presslight,sumohz4x4,sumo,0.1,0.1,3,3,478.1,4.6184412955022,472.873741682619,483.326258317382,0,0,0,0,-15.4533333333333,0.100166528008779,-15.5666824302763,-15.3399842363904,2.25333333333333,0.0680685928555404,2.17630646933266,2.330360197334,0.173333333333333,0.00577350269189625,0.1668,0.179866666666667,2618.33333333333,19.6299091524473,2596.12,2643.54666666667
presslight,sumohz4x4,sumo,0.125,0.125,3,3,463.433333333333,10.7983023357069,451.213903923123,475.652762743544,0,0,0,0,-15.4233333333333,0.756394958558908,-16.2792748058912,-14.5673918607755,2.29,0.07,2.21078754306718,2.36921245693282,0.176666666666667,0.00577350269189625,0.170133333333333,0.1832,2641,12.1243556529821,2627.28,2654.72
presslight,sumohz4x4,sumo,0.15,0.15,3,3,452.266666666667,8.51723742379732,442.628505200679,461.904828132654,0,0,0,0,-14.8533333333333,0.512867754234299,-15.4336978318264,-14.2729688348403,2.26666666666667,0.0208166599946614,2.24311039833364,2.2902229349997,0.176666666666667,0.00577350269189625,0.170133333333333,0.1832,2662.33333333333,1.52752523165195,2660.6047758101,2664.06189085656
presslight,sumohz4x4,sumo,0.175,0.175,3,3,450.633333333333,7.76938435999488,441.841447276039,459.425219390628,0,0,0,0,-16.3933333333333,1.13178325369009,-17.6740666510506,-15.1126000156161,2.36666666666667,0.0907377172587747,2.26398727351606,2.46934605981728,0.18,0,0.18,0.18,2650.33333333333,9.71253485622231,2639.34256549038,2661.32410117629
presslight,sumohz4x4,sumo,0.2,0.2,3,3,442.9,5.38609320379808,436.805061772257,448.994938227743,0,0,0,0,-16,1.21519545752936,-17.3751231120643,-14.6248768879357,2.48333333333333,0.250066657780147,2.20035627105129,2.76631039561538,0.183333333333333,0.00577350269189626,0.1768,0.189866666666667,2648,4.35889894354067,2643.06744150229,2652.93255849771
presslight,sumohz4x4,sumo,0.225,0.225,3,3,436.633333333333,8.71569465581103,426.770596368147,446.496070298519,0,0,0,0,-15.92,0.407308237088327,-16.3809126598392,-15.4590873401608,2.42666666666667,0.0763762615825972,2.34023879050522,2.51309454282811,0.183333333333333,0.00577350269189626,0.1768,0.189866666666667,2653,5.19615242270663,2647.12,2658.88
presslight,sumohz4x4,sumo,0.25,0.25,3,3,436.7,7.95047168412038,427.703194344658,445.696805655342,0,0,0,0,-16.6366666666667,0.241108550933669,-16.9095066767662,-16.3638266565671,2.46,0.0721110255092798,2.37839869282093,2.54160130717907,0.18,0,0.18,0.18,2659.33333333333,6.42910050732864,2652.05812123257,2666.6085454341
presslight,sumohz4x4,sumo,0.3,0.3,3,3,452.233333333333,13.4358971912312,437.029184367417,467.43748229925,0,0,0,0,-18.3866666666667,0.981953834624282,-19.4978520357408,-17.2754812975925,3.39,0.650922422412994,2.65341193782866,4.12658806217134,0.2,0,0.2,0.2,2622.66666666667,150.420521649585,2602.44982248124,2672.8835108521
